date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:35:13	95657/95657	---M--	200	added ('OK')	image/jpeg	etag:%22916e85b64021b47e6292201f2b96a3b7%22	https://resources.finalsite.net/videos/v1733852484/gfsdorg/axl5pgdrsbmildukibfv/HeroDec24HomeA.jpg	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/resources.finalsite.net/videos/v1733852484/gfsdorg/axl5pgdrsbmildukibfv/HeroDec24HomeA.jpg	(from https://www.gfsd.org/)
18:35:14	579/579	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Apr%202025%2022:35:29%20GMT	https://www.gfsd.org/fs/pages/682	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/www.gfsd.org/fs/pages/682	(from https://www.gfsd.org/)
18:35:14	583/583	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Apr%202025%2022:35:29%20GMT	https://www.gfsd.org/fs/pages/681	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/www.gfsd.org/fs/pages/681	(from https://www.gfsd.org/)
18:35:14	579/579	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Apr%202025%2022:35:29%20GMT	https://www.gfsd.org/fs/pages/682	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/www.gfsd.org/fs/pages/682	(from https://www.gfsd.org/)
18:35:15	34094/34094	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Apr%202025%2022:35:30%20GMT	https://www.gfsd.org/directory	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/www.gfsd.org/directory.html	(from https://www.gfsd.org/)
18:35:16	25906/25906	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Apr%202025%2022:35:31%20GMT	https://www.gfsd.org/accessibility-statement	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/www.gfsd.org/accessibility-statement.html	(from https://www.gfsd.org/)
18:35:17	28220/28220	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Apr%202025%2022:35:33%20GMT	https://www.gfsd.org/site-map	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/www.gfsd.org/site-map.html	(from https://www.gfsd.org/)
18:35:18	25945/25945	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Apr%202025%2022:35:34%20GMT	https://www.gfsd.org/privacy-policy	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/www.gfsd.org/privacy-policy.html	(from https://www.gfsd.org/)
18:35:19	1994319/1994319	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2024%20Apr%202025%2008:37:58%20GMT	https://www.gfsd.org/assets/application-7162184c95b7ef50f7e2131b1d0ae1c88ba96d1aed940699f5adecf977a318b2.js	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/www.gfsd.org/assets/application-7162184c95b7ef50f7e2131b1d0ae1c88ba96d1aed940699f5adecf977a318b2.js	(from https://www.gfsd.org/)
18:35:19	197339/197339	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e01de2601b3fdb1:0%22	https://www.gfsd.org/uploaded/themes/default_24/main.js?1733838180	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/www.gfsd.org/uploaded/themes/default_24/mainf5c1.js	(from https://www.gfsd.org/)
18:35:19	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2024%20Apr%202025%2022:35:34%20GMT	https://www.gfsd.org/cdn-cgi/challenge-platform/scripts/jsd/main.js	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/www.gfsd.org/cdn-cgi/challenge-platform/scripts/jsd/main.js	(from https://www.gfsd.org/)
18:35:20	8408/8408	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2024%20Apr%202025%2022:35:35%20GMT	https://www.gfsd.org/cdn-cgi/challenge-platform/h/g/scripts/jsd/44e6f86df4dc/main.js?	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/www.gfsd.org/cdn-cgi/challenge-platform/h/g/scripts/jsd/44e6f86df4dc/maind41d.js	(from https://www.gfsd.org/)
18:35:20	7090/7090	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Apr%202025%2008:37:58%20GMT	https://www.gfsd.org/assets/images/ui-icons_444444_256x240-592858081745b3bd7f88cc9bccfe1dd6534a74917c6e26be795522c32117faac.png	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/www.gfsd.org/assets/images/ui-icons_444444_256x240-592858081745b3bd7f88cc9bccfe1dd6534a74917c6e26be795522c32117faac.png	(from https://www.gfsd.org/assets/application-7ff0c818ff42ead9c37e984b608dc7b94bebe4af5a0e53d6b16db0bbbd90f6b9.css)
18:35:20	7074/7074	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Apr%202025%2008:37:58%20GMT	https://www.gfsd.org/assets/images/ui-icons_555555_256x240-cab26f8edff7a9838170935d48304941396f7628ae07b555d49a7e13f1a114a6.png	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/www.gfsd.org/assets/images/ui-icons_555555_256x240-cab26f8edff7a9838170935d48304941396f7628ae07b555d49a7e13f1a114a6.png	(from https://www.gfsd.org/assets/application-7ff0c818ff42ead9c37e984b608dc7b94bebe4af5a0e53d6b16db0bbbd90f6b9.css)
18:35:20	6487/6487	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Apr%202025%2008:37:58%20GMT	https://www.gfsd.org/assets/images/ui-icons_ffffff_256x240-c537cceb51a1ea57827744d7736b5763fb837089d2e2b66830a1f9e5570b5171.png	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/www.gfsd.org/assets/images/ui-icons_ffffff_256x240-c537cceb51a1ea57827744d7736b5763fb837089d2e2b66830a1f9e5570b5171.png	(from https://www.gfsd.org/assets/application-7ff0c818ff42ead9c37e984b608dc7b94bebe4af5a0e53d6b16db0bbbd90f6b9.css)
18:35:21	4676/4676	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Apr%202025%2008:37:58%20GMT	https://www.gfsd.org/assets/images/ui-icons_777620_256x240-0f9f47c0421d9ac23f64bfcf6d2cf729c1d752e451dae508643571937321d580.png	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/www.gfsd.org/assets/images/ui-icons_777620_256x240-0f9f47c0421d9ac23f64bfcf6d2cf729c1d752e451dae508643571937321d580.png	(from https://www.gfsd.org/assets/application-7ff0c818ff42ead9c37e984b608dc7b94bebe4af5a0e53d6b16db0bbbd90f6b9.css)
18:35:21	4676/4676	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Apr%202025%2008:37:58%20GMT	https://www.gfsd.org/assets/images/ui-icons_cc0000_256x240-fce245fa49eef135b6490f9369b018ec295cab1a030ecee851b5a6226b9bf05c.png	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/www.gfsd.org/assets/images/ui-icons_cc0000_256x240-fce245fa49eef135b6490f9369b018ec295cab1a030ecee851b5a6226b9bf05c.png	(from https://www.gfsd.org/assets/application-7ff0c818ff42ead9c37e984b608dc7b94bebe4af5a0e53d6b16db0bbbd90f6b9.css)
18:35:21	7111/7111	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Apr%202025%2008:37:58%20GMT	https://www.gfsd.org/assets/images/ui-icons_777777_256x240-df86d086f68da1e520cf5a2028d27beeebb0c3d5e2031a9384fb568a2a06b8dc.png	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/www.gfsd.org/assets/images/ui-icons_777777_256x240-df86d086f68da1e520cf5a2028d27beeebb0c3d5e2031a9384fb568a2a06b8dc.png	(from https://www.gfsd.org/assets/application-7ff0c818ff42ead9c37e984b608dc7b94bebe4af5a0e53d6b16db0bbbd90f6b9.css)
18:35:21	103692/103692	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2024%20Apr%202025%2008:37:58%20GMT	https://www.gfsd.org/assets/icomoon/fonts/icomoon-35511843bd71e750e0cd0d4a4ab1328fd24da3f11abb22c2735f451fb1954ba6.eot	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/www.gfsd.org/assets/icomoon/fonts/icomoon-35511843bd71e750e0cd0d4a4ab1328fd24da3f11abb22c2735f451fb1954ba6.eot	(from https://www.gfsd.org/assets/application-7ff0c818ff42ead9c37e984b608dc7b94bebe4af5a0e53d6b16db0bbbd90f6b9.css)
18:35:21	47112/47112	---M--	200	added ('OK')	application/font-woff2	date:Thu,%2024%20Apr%202025%2008:37:58%20GMT	https://www.gfsd.org/assets/icomoon/fonts/icomoon-309c1598a9265285effde2404d5e161ff7fc790345b3c991cecc0746d1516bcf.woff2	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/www.gfsd.org/assets/icomoon/fonts/icomoon-309c1598a9265285effde2404d5e161ff7fc790345b3c991cecc0746d1516bcf.woff2	(from https://www.gfsd.org/assets/application-7ff0c818ff42ead9c37e984b608dc7b94bebe4af5a0e53d6b16db0bbbd90f6b9.css)
18:35:22	103604/103604	---MCZ	200	added ('OK')	application/font-woff	date:Thu,%2024%20Apr%202025%2008:37:58%20GMT	https://www.gfsd.org/assets/icomoon/fonts/icomoon-454d742e9c5c08794dd39b1de06a9589f503c027289df05bfe91885e21faf135.woff	C:/Users/kanad/Downloads/mrperrydiedforthejews/Glens-Falls-City-School-District/GFSD%20Copy/www.gfsd.org/assets/icomoon/fonts/icomoon-454d742e9c5c08794dd39b1de06a9589f503c027289df05bfe91885e21faf135.woff	(from https://www.gfsd.org/assets/application-7ff0c818ff42ead9c37e984b608dc7b94bebe4af5a0e53d6b16db0bbbd90f6b9.css)
